,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
406,description,description,2,True,True,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",406,200,3,False,200
127,description,numeric,5,True,False,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",127,200,3,False,200
50,description,description,2,True,True,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",50,200,3,False,200
253,description,entity,1,True,False,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",253,200,3,False,200
262,numeric,numeric,5,True,True,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",262,200,3,False,200
41,description,description,2,True,True,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",41,200,3,False,200
106,numeric,numeric,5,True,True,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",106,200,3,False,200
72,location,location,4,True,True,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",72,200,3,False,200
274,description,description,2,True,True,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",274,200,3,False,200
367,entity,entity,1,True,True,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",367,200,3,False,200
180,location,location,4,True,True,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",180,200,3,False,200
95,location,location,4,True,True,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",95,200,3,False,200
30,numeric,numeric,5,True,True,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",30,200,3,False,200
0,numeric,numeric,5,True,True,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",0,200,3,False,200
227,description,description,2,True,True,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",227,200,3,False,200
333,entity,entity,1,True,True,True,"{2: 44, 1: 39, 3: 44, 5: 36, 4: 31, 0: 6}","[2424, 3589, 4933, 5224, 440, 4891, 3302, 5010, 740, 617, 1370, 3583, 3431, 5311, 4419, 1227, 2091, 385, 4357, 2673, 3724, 2539, 2765, 1483, 3223, 1375, 2681, 4005, 1311, 3012, 3564, 1067, 588, 2479, 484, 778, 906, 3543, 3228, 17, 1980, 835, 3546, 3171, 3477, 598, 572, 1748, 2415, 3247, 2022, 1011, 4478, 1989, 1485, 1535, 1341, 1725, 3259, 39, 261, 1446, 1764, 2832, 1502, 1351, 3547, 4001, 2720, 3514, 4943, 68, 1631, 2745, 2467, 1043, 4219, 1770, 4062, 3333, 4326, 5250, 720, 234, 3116, 3424, 2684, 4639, 1296, 2205, 1739, 485, 88, 5387, 369, 2148, 4502, 614, 1742, 318, 1970, 2841, 1931, 4316, 2711, 383, 5092, 3191, 2783, 1840, 5075, 5393, 3858, 497, 3395, 18, 2586, 3050, 2411, 3048, 3196, 2699, 1828, 2629, 1209, 3470, 2043, 4834, 1445, 2081, 2944, 2389, 1146, 1091, 233, 220, 231, 4888, 192, 779, 5281, 4845, 5299, 298, 2529, 1594, 2521, 3180, 2073, 3001, 3552, 1150, 2996, 1108, 3579, 1124, 3418, 3392, 4487, 1049, 2426, 3962, 5429, 920, 391, 247, 3068, 1106, 218, 2041, 1800, 2107, 1033, 1755, 2533, 855, 5410, 2084, 8, 1004, 4425, 2984, 1210, 2120, 2401, 3845, 5257, 470, 5358, 2961, 2886, 4958, 4815, 5327, 712, 1336, 5422, 284, 4674, 1125]",333,200,3,False,200
